d	s	a	m_i     
2   1  1  1
3   1  3  1
4   2  7  1 1
5   3  11  1 3 7
6   3  13  1 1 5
7   4  19  1 3 1 1
8   4  25  1 1 3 7
9   5  37  1 3 3 9 9
10   5  59  1 3 7 13 3
11   5  47  1 1 5 11 27
12   5  61  1 3 5 1 15
13   5  55  1 1 7 3 29
14   5  41  1 3 7 7 21
15   6  67  1 1 1 9 23 37
16   6  97  1 3 3 5 19 33
17   6  91  1 1 3 13 11 7
18   6  109  1 1 7 13 25 5
19   6  103  1 3 5 11 7 11
20   6  115  1 1 1 3 13 39
21   7  131  1 3 1 15 17 63 13
22   7  193  1 1 5 5 1 27 33
23   7  137  1 3 3 3 25 17 115
24   7  145  1 1 3 15 29 15 41
25   7  143  1 3 1 7 3 23 79
26   7  241  1 3 7 9 31 29 17
27   7  157  1 1 5 13 11 3 29
28   7  185  1 3 1 9 5 21 119
29   7  167  1 1 3 1 23 13 75
30   7  229  1 3 3 11 27 31 73
31   7  171  1 1 7 7 19 25 105
32   7  213  1 3 5 5 21 9 7
33   7  191  1 1 1 15 5 49 59
34   7  253  1 1 1 1 1 33 65
35   7  203  1 3 5 15 17 19 21
36   7  211  1 1 7 11 13 29 3
37   7  239  1 3 7 5 7 11 113
38   7  247  1 1 5 3 15 19 61
39   8  285  1 3 1 1 9 27 89 7
40   8  369  1 1 3 7 31 15 45 23
41   8  299  1 3 3 9 9 25 107 39
